dataset,diffToPreviousRelease,threshold,mode,indicator,NB,LR,autogluon_best_f1,RF,KNN,SVM
MA-SZZ-2020,original,-1,default,tp,2,1,3,3,1,1
MA-SZZ-2020,original,-1,default,fp,4,3,3,2,3,1
MA-SZZ-2020,original,-1,default,tn,1,2,2,2,2,2
MA-SZZ-2020,original,-1,default,fn,3,4,2,1,4,4
MA-SZZ-2020,original,-1,default,precision,1,2,3,4,2,4
MA-SZZ-2020,original,-1,default,auc_roc,1,2,4,5,3,3
MA-SZZ-2020,#NAME?,-1,default,recall,3,2,4,4,2,1
MA-SZZ-2020,#NAME?,-1,default,f1,1,1,2,2,1,1
MA-SZZ-2020,#NAME?,-1,default,g1,2,2,3,3,1,1
MA-SZZ-2020,#NAME?,-1,default,ifap2,1,2,2,2,2,2
MA-SZZ-2020,#NAME?,-1,default,roi_tp,1,1,2,2,1,1
MA-SZZ-2020,#NAME?,-1,default,acc,1,2,3,3,2,2
MA-SZZ-2020,#NAME?,-1,default,tp,2,1,2,2,1,1
MA-SZZ-2020,#NAME?,-1,default,fp,3,2,2,2,2,1
MA-SZZ-2020,#NAME?,-1,default,tn,1,2,2,2,2,2
MA-SZZ-2020,#NAME?,-1,default,fn,2,3,1,1,3,3
MA-SZZ-2020,#NAME?,-1,default,precision,1,2,2,3,2,3
MA-SZZ-2020,#NAME?,-1,default,auc_roc,1,2,4,4,2,3
Metrics-Repo-2010,original,-1,default,recall,1,1,2,2,1,1
Metrics-Repo-2010,original,-1,default,f1,1,1,1,1,1,1
Metrics-Repo-2010,original,-1,default,g1,3,2,3,3,3,1
Metrics-Repo-2010,original,-1,default,ifap2,1,2,2,2,1,2
Metrics-Repo-2010,original,-1,default,roi_tp,1,1,1,1,1,1
Metrics-Repo-2010,original,-1,default,acc,1,1,1,1,1,1
Metrics-Repo-2010,original,-1,default,tp,1,2,2,2,1,1
Metrics-Repo-2010,original,-1,default,fp,1,2,2,2,2,1
Metrics-Repo-2010,original,-1,default,tn,1,1,1,1,1,1
Metrics-Repo-2010,original,-1,default,fn,1,1,1,1,1,1
Metrics-Repo-2010,original,-1,default,precision,1,1,1,1,1,1
Metrics-Repo-2010,original,-1,default,auc_roc,2,1,2,2,1,1
Metrics-Repo-2010,#NAME?,-1,default,recall,1,1,1,1,1,1
Metrics-Repo-2010,#NAME?,-1,default,f1,1,1,1,1,1,1
Metrics-Repo-2010,#NAME?,-1,default,g1,3,2,3,3,3,1
Metrics-Repo-2010,#NAME?,-1,default,ifap2,1,2,2,2,1,2
Metrics-Repo-2010,#NAME?,-1,default,roi_tp,1,1,1,1,1,1
Metrics-Repo-2010,#NAME?,-1,default,acc,1,1,1,1,1,1
Metrics-Repo-2010,#NAME?,-1,default,tp,1,2,2,2,1,1
Metrics-Repo-2010,#NAME?,-1,default,fp,1,1,2,2,2,1
Metrics-Repo-2010,#NAME?,-1,default,tn,1,1,1,1,1,1
Metrics-Repo-2010,#NAME?,-1,default,fn,1,1,1,1,1,1
Metrics-Repo-2010,#NAME?,-1,default,precision,1,1,1,1,1,1
Metrics-Repo-2010,#NAME?,-1,default,auc_roc,2,2,2,2,1,2
